あい /アイ/
えっせんしゃるおいる /エッセンシャルオイル;精油/
えっせんす /エッセンス/
えっせー /エッセー/
えった /エッタ/
えっだ /エッダ/
えっち /エッチ/
えっちんぐ /エッチング/
えっとれ /エットレ/
えっふぇる /エッフェル/
えてぃ /エティ/
えてぃえんぬ /エティエンヌ/
えてぃおぴあ /エティオピア/
えでぃ /エディ/
えでぃしょん /エディション/
えでぃす /エディス/
えでぃそん /エディソン/
えでぃた /エディタ/
えでぃたー /エディター/
えでぃたーず /エディターズ/
えでぃっと /エディット/
えでぃてぃんぐ /エディティング/
えでぃと /エディト/
えでぃとりある /エディトリアル/
えでぃぶる /エディブル/
えでぃんばら /エディンバラ/
えでぃー /エディー/
えでゅあるど /エデュアルド/
えでゅけいしょん /エデュケイション/
えでゅけーしょなる /エデュケーショナル/
えでゅけーしょん /エデュケーション/
えでゅけーたー /エデュケーター/
えでゅていめんと /エデュテイメント;[新語]education + entertainment/
えでゅていんめんと /エデュテインメント/
えでる /エデル/
えでん /エデン/
えとす /エトス/
えとせとら /エトセトラ/
えとな /エトナ/
えとらんじぇ /エトランジェ/
えとらんぜ /エトランゼ/
えとるりあ /エトルリア/
えとわーる /エトワール/
えど /エド/
えどあるど /エドアルド/
えどぅ /エドゥ/
えどぅあると /エドゥアルト/
えどぅあるど /エドゥアルド/
えどぅあーる /エドゥアール/
えどうぃん /エドウィン/
えどがー /エドガー/
えどな /エドナ/
えどまんど /エドマンド/
えどむんと /エドムント/
えどもん /エドモン/
えどもんとん /エドモントン/
えどもんど /エドモンド/
えどわーど /エドワード/
えどわーる /エドワール/
えなじー /エナジー/
えなめる /エナメル/
えに /エニ/
えにい /エニイ/
えにきゃすと /エニキャスト/
えにぐま /エニグマ;謎/
えにしんぐ /エニシング/
えにす /エニス/
えにせい /エニセイ/
えにっくす /エニックス/
えにー /エニー/
えにーきゃすと /エニーキャスト/
えぬ /エヌ/
えぬろふ /エヌロフ/
えね /エネ;energy/
えねま /エネマ/
えねるぎっしゅ /エネルギッシュ;(独語)/
えねるぎー /エネルギー/
えのく /エノク/
えのす /エノス/
えのら /エノラ/
えのらげい /エノラゲイ;Enola Gay/
えのら・げい /エノラ・ゲイ/
えば /エバ/
えばぽれーた /エバポレータ/
えばぽれーたー /エバポレーター/
えばみるく /エバミルク;evaporated milk/
えばりゅえーた /エバリュエータ/
えばりゅえーと /エバリュエート/
えばんじぇりすと /エバンジェリスト/
えばんす /エバンス/
えばー /エバー/
えばーぐりーん /エバーグリーン/
えびあん /エビアン/
えびでんす /エビデンス/
えびる /エビル/
えぴ /エピ/
えぴきゅりあん /エピキュリアン/
えぴきゅろす /エピキュロス/
えぴくろす /エピクロス/
えぴぐらふ /エピグラフ/
えぴごーねん /エピゴーネン/
えぴすてーめー /エピステーメー/
えぴそーど /エピソード/
えぴたきし /エピタキシ/
えぴたきしー /エピタキシー/
えぴっく /エピック/
えぴとーぷ /エピトープ/
えぴふぁにー /エピファニー;仏語/
えぴぽーら /エピポーラ/
えぴろーぐ /エピローグ/
えふ /エフ/
えふぇくた /エフェクタ/
えふぇくたー /エフェクター/
えふぇくつ /エフェクツ/
えふぇくと /エフェクト/
えふぇそす /エフェソス/
えふぇどりん /エフェドリン/
えふえむ /エフエム;frequency modulation/
えふぉーと /エフォート/
えふげにー /エフゲニー/
えぶり /エブリ/
えぶりでぃ /エブリディ/
えぶりでい /エブリデイ/
えぶりでー /エブリデー/
えぶりばでぃ /エブリバディ/
えぶりわん /エブリワン/
えぶりん /エブリン/
えぶろ /エブロ/
えぷそん /エプソン;www.epson.co.jp/
えぷろん /エプロン/
えぷろんどれす /エプロンドレス/
えべれすと /エベレスト/
えぺ /エペ/
えぺそ /エペソ/
えほば /エホバ/
えぼないと /エボナイト/
えぼにー /エボニー/
えぼら /エボラ/
えぼりゅーしょん /エボリューション/
えぽきし /エポキシ/
えぽっく /エポック;仏語/
えぽっくめいきんぐ /エポックメイキング/
えぽっくめーきんぐ /エポックメーキング/
えま /エマ/
えまそん /エマソン/
えまにえる /エマニエル/
えまにゅえる /エマニュエル/
えまぬえる /エマヌエル/
えまぬえーれ /エマヌエーレ/
えまるじょん /エマルジョン/
えまーじぇんしー /エマージェンシー/
えまーじんぐ /エマージング/
えまーそん /エマーソン/
えみっしょん /エミッション/
えみった /エミッタ/
えみったー /エミッター/
えみゅ /エミュ;emulator/
えみゅれーしょん /エミュレーション/
えみゅれーた /エミュレータ;※emulator/
えみゅれーたー /エミュレーター/
えみゅれーと /エミュレート;※emulate/
えみゅー /エミュー;[鳥]/
えみり /エミリ/
えみりあ /エミリア/
えみりあーの /エミリアーノ/
えみりお /エミリオ/
えみりー /エミリー/
えみる /エミル/
えみー /エミー/
えみーりあ /エミーリア/
えみーる /エミール/
えむ /エム/
えめ /エメ/
えめっと /エメット/
えめらるど /エメラルド/
えめり /エメリ/
えめりっひ /エメリッヒ/
えめりー /エメリー/
えめんたーる /エメンタール/
えもーしょなる /エモーショナル/
えもーしょん /エモーション/
えら /エラ/
えらす /エラス/
えらすちん /エラスチン/
えらすてぃっく /エラスティック/
えらすむす /エラスムス/
えらった /エラッタ/
えらとすてねす /エラトステネス/
えらりー /エラリー/
えらん /エラン/
えらー /エラー/
えらーこーど /エラーコード/
えらーしぐなる /エラーシグナル/
えらーた /エラータ/
えらーちぇっく /エラーチェック/
えらーめっせーじ /エラーメッセージ/
えらーろぐ /エラーログ/
えらー・だいあろぐ /エラー・ダイアログ/
えり /エリ/
えりあ /エリア/
えりあがいど /エリアガイド/
えりあしんぐ /エリアシング/
えりあす /エリアス/
えりあすたでぃ /エリアスタディ/
えりあすたでぃー /エリアスタディー/
えりあな /エリアナ/
えりあまっぷ /エリアマップ/
えりあーで /エリアーデ/
えりお /エリオ/
えりおっと /エリオット/
えりか /エリカ/
えりきしる /エリキシル/
えりく /エリク/
えりくしーる /エリクシール/
えりくそん /エリクソン/
えりこ /エリコ;パレスチナ/
えりさ /エリサ/
えりざ /エリザ/
えりざべす /エリザベス/
えりざべと /エリザベト/
えりざべーと /エリザベート/
えりしゃ /エリシャ/
えりす /エリス/
えりすりとーる /エリスリトール/
えりすろまいしん /エリスロマイシン/
えりすん /エリスン/
えりぜ /エリゼ/
えりそん /エリソン/
えりっく /エリック/
えりつぃん /エリツィン/
えりとりあ /エリトリア;.er/
えりな /エリナ/
えりなー /エリナー/
えりのあ /エリノア/
えりみねーたー /エリミネーター/
えりや /エリヤ/
えりゅあーる /エリュアール/
えりんとん /エリントン/
えりー /エリー/
えりーす /エリース/
えりーず /エリーズ/
えりーぜ /エリーゼ/
えりーと /エリート/
えりーな /エリーナ/
える /エル/
えるう゛ぃす /エルヴィス/
えるう゛ぃら /エルヴィラ/
えるう゛ぃん /エルヴィン/
えるう゛ぇ /エルヴェ/
えるがー /エルガー/
えるきゅーる /エルキュール/
えるく /エルク/
えるぐ /エルグ;10^-7J/
えるげら /エルゲラ/
えるご /エルゴ/
えるごすてろーる /エルゴステロール/
えるごのみくす /エルゴノミクス;人間工学/
えるごーど /エルゴード/
えるさ /エルサ/
えるさるばどる /エルサルバドル;El Salvador,sv,.sv/
えるされむ /エルサレム/
えるざ /エルザ/
えるしー /エルシー/
えるす /エルス/
えるせ /エルセ/
えるだ /エルダ/
えるだー /エルダー/
えるとん /エルトン/
えるどらど /エルドラド;El Dorado/
えるなんです /エルナンデス/
えるにーにょ /エルニーニョ;El Nino/
えるねすと /エルネスト/
えるば /エルバ/
えるぱそ /エルパソ;El Paso/
えるびうむ /エルビウム;[元素]68,Er/
えるびす /エルビス/
えるびら /エルビラ/
えるふ /エルフ/
えるふぃん /エルフィン/
えるぶらん /エルブラン/
えるべ /エルベ/
えるぼー /エルボー/
えるぼーぱっど /エルボーパッド/
えるま /エルマ/
えるまん /エルマン/
えるまー /エルマー/
えるみたーじゅ /エルミタージュ/
えるみーと /エルミート/
えるめす /エルメス/
えるも /エルモ/
えるりっく /エルリック/
えるろい /エルロイ/
えるんすと /エルンスト/
えれあのーる /エレアノール/
えれいん /エレイン/
えれう゛ぁん /エレヴァン/
えれおのーら /エレオノーラ/
えれがんす /エレガンス/
えれがんて /エレガンテ/
えれがんと /エレガント/
えれき /エレキ/
えれくしょん /エレクション/
えれくたー /エレクター/
えれくと /エレクト/
えれくとら /エレクトラ/
えれくとりかる /エレクトリカル/
えれくとりっく /エレクトリック/
えれくとりっくぎたー /エレクトリックギター/
えれくとりっくべーす /エレクトリックベース/
えれくとろ /エレクトロ/
えれくとろにか /エレクトロニカ/
えれくとろにくす /エレクトロニクス/
えれくとろにっく /エレクトロニック/
えれくとろるみねせんす /エレクトロルミネセンス/
えれくとろるみねっせんす /エレクトロルミネッセンス;EL/
えれくとろん /エレクトロン/
えれくとーん /エレクトーン/
えれじー /エレジー/
えれな /エレナ/
えれなー /エレナー/
えれに /エレニ/
えれのあ /エレノア/
えれふぁんと /エレファント/
えれべーしょん /エレベーション/
えれべーた /エレベータ/
えれべーたー /エレベーター/
えれべーたーがーる /エレベーターガール/
えれぼす /エレボス/
えれみや /エレミヤ/
えれめんたりー /エレメンタリー/
えれめんたる /エレメンタル/
えれめんつ /エレメンツ/
えれめんと /エレメント/
えれん /エレン/
えれーな /エレーナ/
えれーぬ /エレーヌ/
えろ /エロ/
えろあ /エロア/
えろあにめ /エロアニメ;erotic animation,和製英語(hentai)/
えろい /エロイ/
えろいか /エロイカ/
えろいーず /エロイーズ/
えろえろ /エロエロ/
えろきゅーしょん /エロキューション/
えろぐろ /エログロ;erotic and grotesque/
えろさいと /エロサイト/
えろす /エロス/
えろちか /エロチカ/
えろちしずむ /エロチシズム/
えろちっく /エロチック/
えろてぃしずむ /エロティシズム/
えろてぃっく /エロティック/
えろでぃ /エロディ/
えろとまにあ /エロトマニア/
えろひむ /エロヒム/
えろびでお /エロビデオ;和製英語(porn video)/
えろーら /エローラ/
えろーる /エロール/
えん /エン/
えんう゛ぃ /エンヴィ/
えんう゛ぃー /エンヴィー/
えんかうんたー /エンカウンター/
えんかうんと /エンカウント/
えんかぷしゅれーしょん /エンカプシュレーション/
えんかぷすれーた /エンカプスレータ/
えんかぷせれーしょん /エンカプセレーション/
えんき /エンキ/
えんきどぅ /エンキドゥ/
えんきゅー /エンキュー/
えんくろーじゃ /エンクロージャ/
えんくろーじゃー /エンクロージャー/
えんぐらー /エングラー/
えんげる /エンゲル/
えんげるす /エンゲルス/
えんげるはーと /エンゲルハート/
えんげるばーと /エンゲルバート/
えんげるべると /エンゲルベルト/
えんげーじ /エンゲージ/
えんげーじめんと /エンゲージメント/
えんげーじりんぐ /エンゲージリング/
えんこーだ /エンコーダ/
えんこーだー /エンコーダー/
えんこーでぃんぐ /エンコーディング/
えんこーど /エンコード/
えんさいくろぺでぃあ /エンサイクロペディア/
えんじぇりっく /エンジェリック/
えんじぇる /エンジェル/
えんじぇるす /エンジェルス;[MLB]/
えんじぇるず /エンジェルズ;[MLB]/
えんじにあ /エンジニア/
えんじにありんぐ /エンジニアリング/
えんじにありんぐ・わーくすてーしょん /エンジニアリング・ワークステーション/
えんじょい /エンジョイ/
えんじん /エンジン/
えんじんきー /エンジンキー/
えんじんとらぶる /エンジントラブル/
えんじんぶれーき /エンジンブレーキ/
えんぜる /エンゼル/
えんぜるふぃっしゅ /エンゼルフィッシュ/
えんぜるぷらん /エンゼルプラン/
えんたいあ /エンタイア/
えんたいとる /エンタイトル/
えんたしす /エンタシス/
えんたていめんと /エンタテイメント/
えんたていんめんと /エンタテインメント/
えんたるぴー /エンタルピー/
えんたー /エンター/
えんたーきー /エンターキー/
えんたーてぃなー /エンターティナー/
えんたーてぃめんと /エンターティメント/
えんたーていなー /エンターテイナー/
えんたーていめんと /エンターテイメント/
えんたーていんめんと /エンターテインメント/
えんたーぶれいん /エンターブレイン;www.enterbrain.co.jp/
えんたーぷらいず /エンタープライズ/
えんだいぶ /エンダイブ/
えんだー /エンダー/
えんちゃんと /エンチャント/
えんつぉ /エンツォ/
えんてぃてぃ /エンティティ/
えんで /エンデ/
えんでぃあん /エンディアン/
えんでぃみおん /エンディミオン/
えんでぃんぐ /エンディング/
えんでぃんぐてーま /エンディングテーマ/
えんでぃんぐろーる /エンディングロール/
えんでばー /エンデバー/
えんとらっぷめんと /エントラップメント/
えんとらんす /エントランス/
えんとらんすほーる /エントランスホール/
えんとり /エントリ/
えんとりー /エントリー/
えんとりーしーと /エントリーシート/
えんとりーもでる /エントリーモデル/
えんとろぴー /エントロピー/
えんど /エンド/
えんどつーえんど /エンドツーエンド/
えんどぽいんと /エンドポイント/
えんどまーく /エンドマーク/
えんどゆーざ /エンドユーザ/
えんどゆーざー /エンドユーザー/
えんどらいん /エンドライン/
えんどらん /エンドラン/
えんどるふぃん /エンドルフィン/
えんどれす /エンドレス/
えんにお /エンニオ/
えんはんす /エンハンス/
えんはんすと /エンハンスト/
えんはんすど /エンハンスド/
えんばぐ /エンバグ/
えんばしー /エンバシー/
えんぱいあ /エンパイア/
えんぱわー /エンパワー/
えんぱわーめんと /エンパワーメント/
えんふぁしす /エンファシス/
えんぶりお /エンブリオ/
えんぶれむ /エンブレム/
えんぷてぃ /エンプティ/
えんぷてぃー /エンプティー/
えんべっど /エンベッド/
えんべでっど /エンベデッド/
えんべろーぷ /エンベロープ/
えんぺらー /エンペラー/
えんぼす /エンボス/
えんぽりあむ /エンポリアム/
えんぽりうむ /エンポリウム/
えんま /エンマ/
えんや /エンヤ/
えんりけ /エンリケ/
えんりこ /エンリコ/
えんりっち /エンリッチ/
えんりる /エンリル/
えー /エー;(独語)/
えーえむ /エーエム/
えーかー /エーカー/
えーこ /エーコ;(1932-) Umberto Eco/
えーじ /エージ/
えーじぇんしー /エージェンシー/
えーじぇんと /エージェント/
えーじんぐ /エージング/
えーす /エース/
えーすすとらいかー /エースストライカー/
えーすぱいろっと /エースパイロット/
えーた /エータ/
えーてぼり /エーテボリ;スウェーデン/
えーてる /エーテル/
えーでる /エーデル;(独語)高貴な/
えーでるわいす /エーデルワイス/
えーとす /エートス/
えーみーる /エーミール/
えーめ /エーメ/
えーりく /エーリク/
えーりっひ /エーリッヒ/
えーりひ /エーリヒ/
えーる /エール/
えーるふらんす /エールフランス;www.airfrance.fr/
えーろ /エーロ/
おあ /オア/
おあしす /オアシス/
おあはか /オアハカ/
おあふ /オアフ/
おいげん /オイゲン/
おいすたー /オイスター/
おいすたーそーす /オイスターソース/
おいでぃぷす /オイディプス/
おいらー /オイラー/
おいりー /オイリー/
おいる /オイル/
おいるさんど /オイルサンド/
おいるさーでぃん /オイルサーディン/
おいるすきん /オイルスキン/
おいるひーたー /オイルヒーター/
おいるふぇんす /オイルフェンス/
おいるぽっと /オイルポット/
おいるまっさーじ /オイルマッサージ/
おいるまねー /オイルマネー/
おいるらいたー /オイルライター;oil lighter/
おうえん /オウエン/
おうが /オウガ/
おうなー /オウナー/
おうむ /オウム/
おうん /オウン/
おうんごーる /オウンゴール/
おう゛ /オヴ/
おう゛ぇいしょん /オヴェイション/
おかぴ /オカピ/
おかりな /オカリナ;※ocarina/
おかると /オカルト/
おかれんす /オカレンス/
おきさいど /オキサイド/
おきし /オキシ/
おきしじぇん /オキシジェン/
おきしじぇん・ですとろいやー /オキシジェン・デストロイヤー/
おきしだんと /オキシダント/
おきしだーぜ /オキシダーゼ/
おきしとしん /オキシトシン/
おきしど /オキシド/
おきしどーる /オキシドール/
おきしん /オキシン/
おきそ /オキソ/
おきゅぺーしょん /オキュペーション/
おぎゅすたん /オギュスタン/
おくす /オクス/
おくた /オクタ;8/
おくたう゛ぃあ /オクタヴィア/
おくたごん /オクタゴン;八角形/
おくたびあ /オクタビア/
おくたびお /オクタビオ/
おくたん /オクタン;C8H18/
おくたーう゛ /オクターヴ/
おくたーぶ /オクターブ/
おくてっと /オクテット/
おくと /オクト;8/
おくとぱす /オクトパス/
おくとーばー /オクトーバー/
おくら /オクラ/
おくらほま /オクラホマ;OK/
おくるーじょん /オクルージョン/
おけ /オケ;orchestra/
おけあのす /オケアノス/
おこなー /オコナー;O'Conner/
おさま /オサマ/
おさりう゛ぁん /オサリヴァン/
おさりばん /オサリバン;O'Sullivan/
おしあん /オシアン/
おしきゃっと /オシキャット/
おしりす /オシリス/
おしれーた /オシレータ/
おしれーたー /オシレーター/
おしろ /オシロ/
おしろすこーぷ /オシロスコープ;※oscilloscope/
おじぇ /オジェ/
おすかる /オスカル/
おすかー /オスカー/
おすてりあ /オステリア/
おすとりっち /オストリッチ/
おすまん /オスマン/
おすみうむ /オスミウム;[元素]76,Os/
おすも /オスモ/
おすろ /オスロ/
おず /オズ/
おずぼーん /オズボーン/
おずわるど /オズワルド/
おせあにあ /オセアニア/
おせろ /オセロ/
おせろっと /オセロット/
おぞん /オゾン/
おぞんほーる /オゾンホール/
おたっきー /オタッキー/
おたわ /オタワ/
おだりすく /オダリスク/
おちょあ /オチョア/
おっかむ /オッカム/
おっくすふぉーど /オックスフォード/
おっけい /オッケイ/
おっけー /オッケー/
おっず /オッズ/
おっと /オット/
おっとまん /オットマン/
おっとー /オットー/
おっど /オッド/
おっふぇんばっく /オッフェンバック/
おっぺんはいまー /オッペンハイマー/
おてる /オテル;仏語/
おでい /オデイ;O'Day/
おでおん /オデオン/
おでっさ /オデッサ/
おでっせい /オデッセイ/
おでっと /オデット/
おでゅっせいあ /オデュッセイア/
おでゅっせうす /オデュッセウス/
おとふりーと /オトフリート/
おどめーたー /オドメーター/
おどれい /オドレイ/
おなにすと /オナニスト/
おなにー /オナニー/
おなぺっと /オナペット/
おなほーる /オナホール/
おなん /オナン/
おなー /オナー/
おにおん /オニオン/
おにおんすらいす /オニオンスライス/
おにきす /オニキス/
おにーる /オニール;O'Neill/
おねげる /オネゲル/
おねすてぃ /オネスティ/
おねすと /オネスト/
おのまとぺ /オノマトペ;仏語/
おのれ /オノレ/
おのん /オノン/
おはいお /オハイオ;OH/
おはら /オハラ;O'Hara/
おばでや /オバデヤ/
おぱーる /オパール/
おび /オビ/
おぴうむ /オピウム/
おぴおいど /オピオイド/
おぴにおん /オピニオン/
おぴにおんりーだー /オピニオンリーダー/
おふ /オフ/
おふぁー /オファー/
おふぃさー /オフィサー/
おふぃしゃる /オフィシャル/
おふぃしゃるさいと /オフィシャルサイト/
おふぃしゃるぺーじ /オフィシャルページ/
おふぃしゃるほーむぺーじ /オフィシャルホームページ/
おふぃす /オフィス/
おふぃすあわー /オフィスアワー/
おふぃすこんぴゅーた /オフィスコンピュータ/
おふぃすすいーと /オフィススイート/
おふぃすそふと /オフィスソフト/
おふぃすらぶ /オフィスラブ/
おふぃすれでぃ /オフィスレディ/
おふぃすわーかー /オフィスワーカー/
おふぃすわーく /オフィスワーク/
おふぃーりあ /オフィーリア/
おふぇんす /オフェンス/
おふぇーりあ /オフェーリア/
おふこん /オフコン;office computer/
おふさいと /オフサイト/
おふさいど /オフサイド/
おふさいどとらっぷ /オフサイドトラップ/
おふしょあ /オフショア/
おふしょっと /オフショット/
おふしょるだー /オフショルダー/
おふしーずん /オフシーズン/
おふすくりーん /オフスクリーン/
おふすぷりんぐ /オフスプリング/
おふせっと /オフセット/
おふたいむ /オフタイム/
おふとぴっく /オフトピック;off-topic/
おふびーと /オフビート/
おふぴーく /オフピーク/
おふほわいと /オフホワイト/
おふらいん /オフライン/
おふれこ /オフレコ/
おふろーだー /オフローダー/
おふろーど /オフロード/
おぶ /オブ/
おぶざべーしょん /オブザベーション/
おぶざーば /オブザーバ/
おぶざーばー /オブザーバー/
おぶしでぃあん /オブシディアン/
おぶじぇ /オブジェ/
おぶじぇくと /オブジェクト;object/
おぶじぇくとおりえんてっど /オブジェクトオリエンテッド/
おぶじぇくとこーど /オブジェクトコード/
おぶすとらくしょん /オブストラクション/
おぶせっしょん /オブセッション/
おぶらーと /オブラート;(蘭語)/
おぶりがーと /オブリガート/
おぷしょなる /オプショナル/
おぷしょん /オプション/
おぷしょんず /オプションズ/
おぷしょんめにゅー /オプションメニュー/
おぷしょん・ぼたん /オプション・ボタン/
おぷす /オプス/
おぷてぃかる /オプティカル/
おぷてぃかるふろー /オプティカルフロー/
おぷてぃかるまうす /オプティカルマウス/
おぷてぃま /オプティマ/
おぷてぃまいざ /オプティマイザ/
おぷてぃまいず /オプティマイズ/
おぷてぃまむ /オプティマム/
おぷてぃまる /オプティマル/
おぷてぃみすと /オプティミスト/
おぷてぃみずむ /オプティミズム/
おぷと /オプト/
おぷとあうと /オプトアウト;opt-out/
おぷといん /オプトイン;opt-in/
おべりすく /オベリスク/
おべろん /オベロン/
おべーしょん /オベーション/
おぺ /オペ;operation/
おぺこーど /オペコード/
おぺら /オペラ/
おぺらぐらす /オペラグラス;opera glasses/
おぺらしてぃ /オペラシティ;www.operacity.jp/
おぺらはうす /オペラハウス/
おぺらびりてぃ /オペラビリティ/
おぺらんと /オペラント/
おぺらんど /オペランド/
おぺる /オペル;www.opel.com/
おぺれった /オペレッタ/
おぺれーしょなる /オペレーショナル/
おぺれーしょん /オペレーション/
おぺれーしょんず /オペレーションズ/
おぺれーしょんずりさーち /オペレーションズリサーチ;OR/
おぺれーしょんず・りさーち /オペレーションズ・リサーチ/
おぺれーた /オペレータ/
おぺれーたー /オペレーター/
おぺれーてぃんぐ /オペレーティング/
おぺれーてぃんぐしすてむ /オペレーティングシステム/
おぺれーてぃんぐ・しすてむ /オペレーティング・システム/
おぺれーと /オペレート/
おぺろん /オペロン/
おほーつく /オホーツク/
おぽちゅにてぃ /オポチュニティ/
おぽちゅにてぃー /オポチュニティー/
おまは /オマハ/
おまりー /オマリー;O'Malley/
おまる /オマル/
おまーじゅ /オマージュ;仏語/
おまーん /オマーン;.om/
おみくろん /オミクロン/
おみっと /オミット/
おむに /オムニ/
おむにす /オムニス/
おむにばす /オムニバス/
おむらいす /オムライス;日本料理(omelette-rice)/
おむれっと /オムレット/
おむれつ /オムレツ/
おむろん /オムロン;[企業名]www.omron.co.jp/
おめが /オメガ/
おら /オラ/
おらいりー /オライリー;O'Reilly. www.oreilly.com/
おらいりーじゃぱん /オライリージャパン;[出版社名]www.oreilly.co.jp/
おらくる /オラクル/
おらとりお /オラトリオ/
おらふ /オラフ/
おらんうーたん /オランウータン/
おらんだ /オランダ;.nl/
おりう゛ぁー /オリヴァー/
おりう゛ぃあ /オリヴィア/
おりう゛ぃえ /オリヴィエ/
おりえんたりずむ /オリエンタリズム/
おりえんたる /オリエンタル/
おりえんていしょん /オリエンテイション/
おりえんてっど /オリエンテッド/
おりえんてーしょん /オリエンテーション/
おりえんてーりんぐ /オリエンテーリング/
おりえんと /オリエント/
おりおん /オリオン/
おりおーる /オリオール/
おりおーるず /オリオールズ;[MLB]/
おりが /オリガ/
おりこ /オリコ;www.orico.co.jp/
おりこん /オリコン;www.oricon.co.jp/
おりご /オリゴ/
おりごまー /オリゴマー/
おりざ /オリザ;稲/
おりじなりてぃ /オリジナリティ/
おりじなりてぃー /オリジナリティー/
おりじなる /オリジナル/
おりじなるあるばむ /オリジナルアルバム/
おりじなるぐっず /オリジナルグッズ/
おりじなるばーじょん /オリジナルバージョン/
おりじなるぶらんど /オリジナルブランド/
おりじなるぷりんと /オリジナルプリント/
おりじん /オリジン/
おりっくす /オリックス/
おりのこ /オリノコ/
おりばー /オリバー/
おりびあ /オリビア/
おりびえ /オリビエ/
おりふぃす /オリフィス/
おりゅんぽす /オリュンポス/
おりんぱす /オリンパス/
おりんぴあ /オリンピア/
おりんぴあーど /オリンピアード/
おりんぴっく /オリンピック/
おりんぽす /オリンポス/
おりーう゛ /オリーヴ/
おりーぶ /オリーブ/
おりーぶおいる /オリーブオイル/
おりーぶぐりーん /オリーブグリーン/
おるう゛ぃえーと /オルヴィエート/
おるか /オルカ/
おるが /オルガ/
おるがすむ /オルガスム;仏語/
おるがすむす /オルガスムス/
おるがずむ /オルガズム/
おるがにすと /オルガニスト/
おるがにずむ /オルガニズム/
おるがねら /オルガネラ/
おるがん /オルガン/
おるがー /オルガー/
おるぐ /オルグ/
おるけすた /オルケスタ;(西語)/
おるごーる /オルゴール;(蘭語)/
おるせー /オルセー/
おるそ /オルソ/
おるそん /オルソン/
おるたな /オルタナ;alternative/
おるたなてぃう゛ /オルタナティヴ/
おるたなてぃぶ /オルタナティブ/
おるたねいと /オルタネイト/
おるたねーと /オルタネート/
おるたー /オルター;祭壇/
おるたーど /オルタード/
おるてぃす /オルティス/
おるてが /オルテガ/
おるでんぶるぐ /オルデンブルグ/
おると /オルト/
おるときー /オルトキー/
おるどす /オルドス/
おるねら /オルネラ/
おるふぇ /オルフェ/
おるふぇうす /オルフェウス/
おるめか /オルメカ/
おるらんど /オルランド/
おるりー /オルリー;フランス(ory)/
おるれあん /オルレアン/
おるーく /オルーク;O'Rourke/
おれ /オレ/
おれあーど /オレアード/
おれお /オレオ/
おれがの /オレガノ/
おれぐ /オレグ/
おれごん /オレゴン/
おれすてす /オレステス/
おれんじ /オレンジ/
おれんじきゅらそー /オレンジキュラソー/
おれんじじゅーす /オレンジジュース/
おれんじぴーる /オレンジピール/
おれんじぺこ /オレンジペコ/
おれんじぺこー /オレンジペコー/
おろごん /オロゴン/
おん /オン/
おんえあ /オンエア/
おんえあー /オンエアー/
おんおふ /オンオフ/
おんぐすとろーむ /オングストローム/
おんさいと /オンサイト/
おんざふらい /オンザフライ;on-the-fly/
おんざろっく /オンザロック;on the rocks/
おんしじうむ /オンシジウム/
おんしーずん /オンシーズン;和製英語/
おんす /オンス/
おんすくりーん /オンスクリーン/
おんすてーじ /オンステージ/
おんたいむ /オンタイム/
おんたりお /オンタリオ/
おんちっぷ /オンチップ/
おんてっく /オンテック/
おんでぃーぬ /オンディーヌ;=undine/
おんでまんど /オンデマンド/
おんとろぎー /オントロギー;存在論/
おんとろじー /オントロジー;存在論/
おんぱれーど /オンパレード;on parade/
おんびーと /オンビート/
おんふるーる /オンフルール/
おんぶずまん /オンブズマン/
おんぶら /オンブラ/
おんぼーど /オンボード/
おんらいん /オンライン/
おんらいんおーくしょん /オンラインオークション/
おんらいんかじの /オンラインカジノ/
おんらいんげーむ /オンラインゲーム/
おんらいんさいんあっぷ /オンラインサインアップ/
おんらいんさーびす /オンラインサービス/
おんらいんしすてむ /オンラインシステム/
おんらいんしょっぴんぐ /オンラインショッピング/
おんらいんしょっぷ /オンラインショップ/
おんらいんすとあ /オンラインストア/
おんらいんそふと /オンラインソフト/
おんらいんとれーど /オンライントレード/
おんらいんばんきんぐ /オンラインバンキング/
おんらいんへるぷ /オンラインヘルプ/
おんらいんまがじん /オンラインマガジン/
おんらいんまにゅある /オンラインマニュアル/
おんりー /オンリー/
おんりーわん /オンリーワン/
おんろーど /オンロード/
おんわーど /オンワード/
おん・おふ /オン・オフ/
おー /オー;(Fr) 高い/
おーうぇる /オーウェル/
おーうぇん /オーウェン/
おーう゛ぁー /オーヴァー/
おーう゛ぁーだびんぐ /オーヴァーダビング/
おーえす /オーエス;(Fr) oh hisse/
おーえん /オーエン/
おーが /オーガ/
おーがすた /オーガスタ/
おーがすたす /オーガスタス/
おーがすてぃん /オーガスティン/
おーがすと /オーガスト/
おーがすむ /オーガスム/
おーがずむ /オーガズム/
おーがないざ /オーガナイザ/
おーがないざー /オーガナイザー/
おーがないず /オーガナイズ/
おーがにぜーしょん /オーガニゼーション/
おーがにっく /オーガニック/
おーがん /オーガン/
おーがんじー /オーガンジー/
おーきしん /オーキシン/
おーきっど /オーキッド/
おーぎゅすたん /オーギュスタン/
おーぎゅすと /オーギュスト/
おーく /オーク/
おーくしょん /オークション/
おーくす /オークス/
おーくらんど /オークランド;USA/
おーくりっじ /オークリッジ/
おーくりー /オークリー/
おーくれー /オークレー/
おーけい /オーケイ/
おーけすとら /オーケストラ/
